,0
654,7669.47
655,8132.9
656,8384.57
657,8382.66
658,7943.21
659,8193.98
660,8058.79
661,7923.59
662,7937.47
663,8056.72
664,8339.91
665,8393.86
666,8269.95
667,8159.42
668,8018.09
669,7714.74
670,7707.85
671,7429.34
672,7127.72
673,6610.69
674,6285.95
675,6185.19
676,6247.62
677,6457.92
678,6772.22
679,7351.58
680,7785.69
681,7637.27
682,7514.67
683,7319.2
684,7239.58
685,7041.19
686,7128.8
687,7579.47
688,8276.0
689,8935.2
690,9020.47
691,8686.24
692,8428.38
693,8023.71
694,7775.43
695,7346.54
696,6938.45
697,6502.79
698,6213.04
699,6118.33
700,6167.23
701,6284.95
702,6436.03
703,6920.01
704,7095.27
705,7192.0
706,7271.08
707,7144.66
708,7175.53
709,7100.12
710,7128.44
711,7474.0
712,7764.54
713,8106.0
714,8185.05
715,8055.03
716,7847.66
717,7447.9
718,7264.89
719,6956.33
720,6693.67
721,6275.03
722,6123.13
723,6081.01
724,6373.83
725,7057.09
726,7782.32
727,8097.73
728,8044.63
729,8004.73
730,7756.97
731,7807.41
732,7776.07
733,8074.97
734,8272.51
735,8930.72
736,9454.14
737,9520.12
738,9129.69
739,8861.85
740,8466.05
741,8069.05
742,7824.75
743,7452.92
744,7124.06
745,6652.05
746,6301.52
747,6255.35
748,6450.95
749,7094.75
750,7757.86
751,7980.32
752,7858.37
753,7396.5
754,7435.14
755,7315.75
756,7238.3
757,7248.65
758,7205.46
759,7603.62
760,7962.69
761,8206.41
762,8203.75
763,8071.88
764,7882.35
765,7585.27
766,7417.55
767,7156.85
768,6868.35
769,6429.23
770,6130.42
771,6093.08
772,6345.8
773,6970.73
774,7545.56
775,7606.34
776,7319.55
777,6986.32
778,6825.65
779,6789.23
780,6950.14
781,6987.86
782,7069.69
783,7362.18
784,7935.42
785,8272.72
786,8362.61
787,8290.45
788,8009.86
789,7694.57
790,7475.41
791,7269.34
792,7014.04
793,6479.95
794,6158.57
795,6089.51
796,6468.56
797,7040.15
798,7630.47
799,7762.57
800,7576.7
801,7334.19
802,7275.53
803,7364.29
804,7558.92
805,8104.85
806,8546.69
807,9123.02
808,9563.77
809,9610.71
810,9311.76
811,9153.77
812,8735.8
813,8294.52
814,7999.57
815,7597.36
816,7304.63
817,6819.65
818,6468.72
819,6449.36
820,6709.02
821,7293.62
822,7898.88
823,8291.0
824,8243.26
825,8171.91
826,8151.89
827,8201.59
828,8438.55
829,8690.24
830,8997.87
831,9515.05
832,9873.17
833,9844.55
834,9429.47
835,9092.31
836,8685.6
837,8368.26
838,8087.1
839,7659.18
840,7384.25
841,6774.18
842,6414.51
843,6317.03
844,6372.79
845,6671.52
846,6893.41
847,7302.77
848,7754.06
849,7851.49
850,7764.6
851,7539.47
852,7682.54
853,7529.74
854,7495.3
855,7662.8
856,7915.66
857,8069.73
858,8210.46
859,8182.08
860,8044.74
861,7698.07
862,7566.06
863,7158.07
864,6839.61
865,6370.42
866,6107.85
867,6033.3
868,6019.95
869,6211.12
870,6334.19
871,6492.29
872,6534.78
873,6544.03
874,6399.57
875,6338.63
876,6569.98
877,6749.9
878,7019.84
879,7422.53
880,7889.87
881,8449.69
882,8427.18
883,8279.13
884,8042.09
885,7658.47
886,7317.91
887,6933.76
888,6677.96
889,6308.92
890,6068.3
891,6102.32
892,6352.38
893,7030.56
894,7747.82
895,8132.39
896,7915.45
897,7843.51
898,7748.97
899,7669.32
900,7659.36
901,7602.35
902,7449.3
903,7767.52
904,8202.45
905,8488.35
906,8392.81
907,8375.32
908,8026.3
909,7708.46
910,7444.6
911,7199.68
912,6955.98
913,6486.06
914,6169.19
915,6125.76
916,6404.19
917,7021.83
918,7688.01
919,7896.79
920,7730.25
921,7526.63
922,7533.82
923,7422.07
924,7325.56
925,7375.13
926,7285.56
927,7626.33
928,7954.68
929,8321.41
930,8408.15
931,8298.24
932,7959.57
933,7606.21
934,7461.16
935,7202.03
936,6959.44
937,6427.68
938,6133.61
939,6130.09
940,6370.88
941,7012.0
942,7615.41
943,7706.24
944,7546.15
