,0
1380,0
1381,1
1382,22
1383,54
1384,74
1385,59
1386,42
1387,10
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,5
1395,26
1396,65
1397,58
1398,22
1399,16
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,23
1407,61
1408,89
1409,87
1410,57
1411,15
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,4
1419,29
1420,18
1421,24
1422,16
1423,7
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,7
1431,73
1432,58
1433,60
1434,33
1435,9
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,26
1443,71
1444,89
1445,84
1446,57
1447,16
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,23
1455,25
1456,9
1457,7
1458,5
1459,6
1460,0
1461,0
1462,0
1463,0
1464,0
1465,1
1466,21
1467,71
1468,89
1469,89
1470,61
1471,17
1472,0
1473,0
1474,0
1475,0
1476,0
1477,1
1478,29
1479,72
1480,89
1481,84
1482,39
1483,12
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,21
1491,58
1492,78
1493,62
1494,26
1495,12
1496,0
1497,0
1498,0
1499,0
1500,0
1501,1
1502,29
1503,72
1504,88
1505,86
1506,57
1507,17
1508,0
1509,0
1510,0
1511,0
1512,0
1513,1
1514,29
1515,70
1516,92
1517,86
1518,60
1519,17
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,9
1527,13
1528,21
1529,35
1530,17
1531,14
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,5
1539,23
1540,42
1541,40
1542,23
1543,8
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,18
1551,28
1552,60
1553,64
1554,47
1555,13
1556,1
1557,0
1558,0
1559,0
1560,0
1561,1
1562,29
1563,68
1564,83
1565,81
1566,54
1567,14
1568,1
1569,0
1570,0
1571,0
1572,0
1573,1
1574,26
1575,60
1576,77
1577,75
1578,45
1579,15
1580,1
1581,0
1582,0
1583,0
1584,0
1585,0
1586,4
1587,16
1588,17
1589,43
1590,18
1591,10
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,8
1599,12
1600,13
1601,23
1602,8
1603,4
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,4
1611,13
1612,15
1613,22
1614,6
1615,5
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,10
1623,9
1624,33
1625,30
1626,34
1627,14
1628,1
1629,0
1630,0
1631,0
1632,0
1633,1
1634,28
1635,70
1636,86
1637,82
1638,57
1639,11
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,4
1647,8
1648,9
1649,15
1650,4
1651,1
1652,0
1653,0
1654,0
1655,0
1656,0
1657,1
1658,4
1659,32
1660,57
1661,34
1662,12
1663,1
1664,0
1665,0
1666,0
1667,0
1668,0
1669,1
1670,28
1671,70
1672,87
1673,83
1674,58
1675,17
1676,1
1677,0
1678,0
1679,0
1680,0
1681,1
1682,29
1683,69
1684,80
1685,64
1686,35
1687,11
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,4
1695,22
1696,58
1697,56
1698,43
1699,12
1700,0
1701,0
1702,0
1703,0
1704,0
1705,2
1706,11
1707,17
1708,72
1709,73
1710,61
1711,19
1712,1
1713,0
1714,0
1715,0
1716,0
1717,0
1718,12
1719,36
1720,83
1721,61
1722,30
1723,10
1724,0
1725,0
1726,0
1727,0
1728,0
1729,1
1730,19
1731,11
1732,23
1733,49
1734,44
1735,19
1736,0
1737,0
1738,0
1739,0
1740,0
1741,2
1742,30
1743,68
1744,85
1745,65
1746,1
1747,17
1748,0
1749,0
1750,0
1751,0
1752,0
1753,1
1754,31
1755,70
1756,88
1757,83
1758,42
1759,9
1760,1
1761,0
1762,0
1763,0
1764,0
1765,1
1766,29
1767,67
1768,84
1769,80
1770,57
1771,18
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,6
1779,43
1780,47
1781,33
1782,22
1783,11
1784,1
1785,0
1786,0
1787,0
1788,0
1789,1
1790,28
1791,63
1792,66
1793,75
1794,54
1795,18
1796,1
1797,0
1798,0
1799,0
1800,0
1801,1
1802,22
1803,51
1804,70
1805,63
1806,36
1807,17
1808,0
1809,0
1810,0
1811,0
1812,0
1813,3
1814,17
1815,15
1816,15
1817,5
1818,7
1819,8
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,28
1827,43
1828,73
1829,85
1830,52
1831,20
1832,1
1833,0
1834,0
1835,0
1836,0
1837,1
1838,27
1839,62
1840,81
1841,76
1842,53
1843,19
1844,1
1845,0
1846,0
1847,0
1848,0
1849,2
1850,26
1851,59
1852,71
1853,46
1854,47
1855,17
1856,2
1857,0
1858,0
1859,0
1860,0
1861,2
1862,27
1863,64
1864,80
1865,59
1866,34
1867,16
1868,0
1869,0
1870,0
1871,0
1872,0
1873,2
1874,23
1875,58
1876,77
1877,71
1878,53
1879,19
1880,1
1881,0
1882,0
1883,0
1884,0
1885,1
1886,22
1887,60
1888,76
1889,73
1890,52
1891,19
1892,1
1893,0
1894,0
1895,0
1896,0
1897,2
1898,17
1899,56
1900,77
1901,48
1902,23
1903,10
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,11
1912,10
1913,23
1914,22
1915,17
1916,1
1917,0
1918,0
1919,0
1920,0
1921,2
1922,17
1923,29
1924,16
1925,22
1926,23
1927,8
1928,0
1929,0
1930,0
1931,0
1932,0
1933,1
1934,15
1935,39
1936,67
1937,58
1938,55
1939,23
1940,1
1941,0
1942,0
1943,0
1944,0
1945,1
1946,15
1947,18
1948,45
1949,33
1950,32
1951,18
1952,1
1953,0
1954,0
1955,0
1956,0
1957,1
1958,13
1959,20
1960,20
1961,13
1962,17
1963,9
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,3
1971,8
1972,20
1973,18
1974,6
1975,12
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1982,4
1983,14
1984,20
1985,38
1986,14
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,7
1995,19
1996,26
1997,49
1998,23
1999,12
2000,0
2001,0
2002,0
2003,0
2004,0
2005,2
2006,28
2007,68
2008,77
2009,66
2010,62
2011,19
2012,2
2013,0
2014,0
2015,0
2016,0
2017,1
2018,23
2019,62
2020,77
2021,75
2022,39
2023,16
2024,1
2025,0
2026,0
2027,0
2028,0
2029,2
2030,25
2031,62
2032,84
2033,44
2034,45
2035,17
2036,1
2037,0
2038,0
2039,0
2040,0
2041,0
2042,9
2043,20
2044,30
2045,44
2046,21
2047,6
2048,1
2049,0
2050,0
2051,0
2052,0
2053,1
2054,5
2055,14
2056,39
2057,22
2058,18
2059,10
2060,0
2061,0
2062,0
2063,0
2064,0
2065,1
2066,15
2067,45
2068,44
2069,64
2070,43
2071,15
2072,1
2073,0
2074,0
2075,0
2076,0
2077,1
2078,24
2079,54
2080,56
2081,52
2082,20
2083,13
2084,1
2085,0
2086,0
2087,0
2088,0
2089,0
2090,7
2091,11
2092,72
2093,47
2094,10
2095,9
2096,1
2097,0
2098,0
2099,0
2100,0
2101,2
2102,24
2103,64
2104,79
2105,81
2106,48
2107,21
2108,1
2109,0
2110,0
2111,0
2112,0
2113,1
2114,13
2115,20
2116,35
2117,32
2118,34
2119,18
2120,1
2121,0
2122,0
2123,0
2124,0
2125,1
2126,15
2127,44
2128,80
2129,29
2130,57
2131,20
2132,1
2133,0
2134,0
2135,0
2136,0
2137,0
2138,7
2139,33
2140,43
2141,47
2142,34
2143,18
2144,1
2145,0
