,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
94,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0
95,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0
96,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0
97,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0
98,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0
99,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0
100,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0
101,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5
102,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31
103,62,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20
104,7,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14
105,0,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4
106,0,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0
107,0,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0
108,0,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0
109,0,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0
110,0,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0
111,0,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0
112,3,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0
113,58,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4
114,78,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56
115,65,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75
116,16,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67
117,0,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18
118,0,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0
119,0,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0
120,0,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0
121,0,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0
122,0,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0
123,0,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0
124,5,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0
125,31,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6
126,20,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48
127,14,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68
128,4,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56
129,0,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13
130,0,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0
131,0,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0
132,0,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0
133,0,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0
134,0,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0
135,0,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0
136,4,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0
137,56,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5
138,75,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55
139,67,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73
